time,type,amount,sender,balance_before,balance_after,receiver,isFraud
10,TRADE,200,689551,3585,3385,355253,0
10,TRADE,200,297133,1679,1479,786675,0
10,TRADE,200,788139,8020,7820,822605,0
10,TRADE,200,1154574,5598,5398,1120959,0
10,TRADE,200,371304,1188,988,704250,0
10,ISSUE,11633,0,0,11633,24578,0
10,TRADE,13617,998116,25449,11832,966921,0
10,TRADE,1258,915852,1803,545,107694,0
10,TRADE,200,37837,400,200,332633,0
10,TRADE,200,792888,3264,3064,998116,0
10,TRADE,200,861349,43447,43247,371304,0
10,TRADE,200,337319,9925,9725,828493,0
10,TRADE,4110,280481,12386,8276,950315,0
10,REDEEM,1748,704250,2166,418,0,0
10,TRADE,200,54536,4682,4482,494330,0
10,ISSUE,200,0,1521,1721,420222,0
10,TRADE,200,10804,472,272,110160,0
10,ISSUE,101984,0,189818,291802,648460,1
10,TRADE,291617,648460,291802,185,825187,1
10,REDEEM,151,648460,185,34,0,1
10,ISSUE,25783,0,302858,328641,825187,1
10,TRADE,315654,825187,328641,12987,825187,1
10,REDEEM,239190,825187,328641,89451,0,1
10,TRADE,200,950315,4110,3910,689551,0
11,ISSUE,15166,0,0,15166,197386,0
11,TRADE,200,670580,661,461,689551,0
11,TRADE,1182,921736,3833,2651,788139,0
11,TRADE,2431,54536,4482,2051,316305,0
11,ISSUE,18398,0,200,18598,899253,0
11,TRADE,1993,788139,9002,7009,1161807,0
11,TRADE,200,196302,13070,12870,698419,0
11,ISSUE,4624,0,4159,8783,698419,0
11,TRADE,200,355253,4054,3854,188834,0
11,TRADE,200,297133,1479,1279,68935,0
11,ISSUE,14464,0,5398,19862,1154574,0
11,TRADE,200,586003,1523,1323,371304,0
11,TRADE,200,24578,11633,11433,786675,0
11,TRADE,11276,998116,12032,756,792888,0
11,TRADE,200,49436,1118,918,297133,0
11,TRADE,8482,861349,43247,34765,337319,0
11,TRADE,200,1161807,1993,1793,24578,0
11,TRADE,8164,792888,14340,6176,510675,0
11,TRADE,200,732474,24288,24088,420222,0
12,TRADE,200,1161539,463,263,68935,0
12,TRADE,422,367681,3954,3532,159610,0
12,TRADE,5490,262919,14707,9217,680172,0
12,TRADE,200,899253,18598,18398,612220,0
12,TRADE,19642,861349,34765,15123,2658,0
12,ISSUE,16712,0,3110,19822,828493,0
12,TRADE,200,586003,1323,1123,787684,0
12,TRADE,200,355253,3854,3654,355253,0
12,TRADE,7455,196302,12870,5415,726207,0
12,ISSUE,1034,0,0,1034,477122,0
12,TRADE,4098,946726,7307,3209,694769,0
12,TRADE,200,49436,918,718,698419,0
12,TRADE,11275,1154574,19862,8587,1161539,0
12,TRADE,200,1161807,1793,1593,2658,0
12,ISSUE,3628,0,2051,5679,54536,0
12,TRADE,12060,966921,13617,1557,915852,0
12,TRADE,7563,337319,18207,10644,1147902,0
12,TRADE,17203,2658,20042,2839,786675,0
12,TRADE,200,670580,461,261,873345,0
12,TRADE,200,107694,1258,1058,953701,0
12,TRADE,1009,374355,7560,6551,337319,0
12,TRADE,200,704250,418,218,861349,0
12,TRADE,8539,786675,17803,9264,704250,0
12,TRADE,4265,732474,24088,19823,966921,0
12,ISSUE,4667,0,15166,19833,197386,0
12,TRADE,200,950315,3910,3710,494330,0
12,ISSUE,4953,0,920,5873,1007410,0
13,TRADE,1022,107694,1058,36,280481,0
13,ISSUE,35561,0,20618,56179,726207,1
13,TRADE,43617,726207,56179,12562,825187,1
13,REDEEM,12494,726207,12562,68,0,1
13,ISSUE,13029,0,0,13029,28672,0
13,TRADE,200,786675,9264,9064,405547,0
13,TRADE,200,788139,7009,6809,24578,0
13,TRADE,3454,262919,9217,5763,205155,0
13,ISSUE,200,0,600,800,612220,0
13,TRADE,5955,861349,15323,9368,262919,0
13,TRADE,15769,828493,19822,4053,648460,0
13,REDEEM,200,846592,6806,6606,0,0
13,ISSUE,200,0,19833,20033,197386,0
13,TRADE,231,1161539,11538,11307,407736,0
13,ISSUE,30064,0,133068,163132,825187,1
13,TRADE,148797,825187,163132,14335,825187,1
13,REDEEM,114668,825187,163132,48464,0,1
13,TRADE,200,367681,3532,3332,364533,0
13,ISSUE,16018,0,3710,19728,950315,0
13,ISSUE,8507,0,200,8707,31795,0
13,TRADE,200,921736,2651,2451,280481,0
13,TRADE,200,355253,3854,3654,726207,0
13,TRADE,4874,54536,5679,805,680172,0
13,TRADE,200,998116,756,556,746335,0
13,TRADE,200,364533,400,200,732474,0
13,TRADE,5135,680172,10564,5429,309686,0
13,TRADE,200,280481,9498,9298,984337,0
13,TRADE,200,316305,2631,2431,579604,0
13,REDEEM,845,1154574,8587,7742,0,0
13,TRADE,200,1161807,1593,1393,205155,0
13,TRADE,200,374355,6551,6351,332633,0
13,TRADE,5074,1007410,5873,799,1154574,0
13,TRADE,200,205155,3654,3454,280481,0
13,TRADE,200,704250,8757,8557,420222,0
13,TRADE,200,412285,6887,6687,792888,0
13,TRADE,200,576773,1368,1168,694769,0
13,TRADE,4595,42759,8349,3754,625587,0
14,TRADE,200,2658,2839,2639,309686,0
14,TRADE,200,1007410,799,599,54536,0
14,TRADE,200,24578,11833,11633,822605,0
14,TRADE,200,586003,1123,923,698419,0
14,TRADE,200,625587,4795,4595,477122,0
14,ISSUE,13056,0,400,13456,822605,0
14,TRADE,200,31795,8707,8507,407736,0
14,TRADE,5673,704250,8557,2884,799431,0
14,REDEEM,200,196302,5415,5215,0,0
14,TRADE,200,197386,20033,19833,262919,0
14,ISSUE,3893,0,3209,7102,946726,0
14,TRADE,200,1154574,12816,12616,875121,0
14,TRADE,8003,950315,19728,11725,28672,0
14,TRADE,6791,337319,11653,4862,579604,0
14,TRADE,5677,412285,6687,1010,689551,0
14,TRADE,200,68935,446,246,366968,0
14,TRADE,200,205155,3454,3254,704250,0
14,TRADE,9068,732474,20023,10955,345135,0
14,TRADE,10047,899253,18398,8351,2658,0
14,TRADE,200,846592,6606,6406,332633,0
14,ISSUE,12560,0,200,12760,468524,0
14,TRADE,1164,262919,11918,10754,188834,0
14,TRADE,200,355253,3654,3454,1154574,0
14,TRADE,200,159610,422,222,10804,0
14,TRADE,200,612220,800,600,477122,0
14,TRADE,200,367681,3332,3132,297133,0
14,TRADE,1185,1161807,1393,208,953701,0
14,TRADE,200,28672,21032,20832,260109,0
14,ISSUE,15021,0,751,15772,1107330,0
14,TRADE,200,1161539,11307,11107,921736,0
14,TRADE,200,861349,9368,9168,136402,0
14,TRADE,200,915852,12605,12405,68935,0
15,TRADE,200,698419,9183,8983,68935,0
15,TRADE,6039,28672,20832,14793,875121,0
15,TRADE,200,420222,2121,1921,698419,0
15,TRADE,200,704250,3084,2884,1147902,0
15,TRADE,200,984337,1424,1224,405547,0
15,TRADE,200,309686,5335,5135,746335,0
15,TRADE,278,197386,19833,19555,899253,0
15,TRADE,200,680172,5429,5229,746335,0
15,ISSUE,1067,0,1385,2452,953701,0
15,ISSUE,200,0,11107,11307,1161539,0
15,TRADE,200,950315,11725,11525,309686,0
15,TRADE,200,468524,12760,12560,1156990,0
15,TRADE,2581,946726,7102,4521,1120959,0
15,TRADE,4069,280481,9498,5429,159610,0
15,TRADE,9913,799431,10147,234,309686,0
15,TRADE,7879,861349,9168,1289,374355,0
15,ISSUE,200,0,1859,2059,961119,0
15,TRADE,14014,1107330,15772,1758,788139,0
15,ISSUE,5061,0,400,5461,405547,0
15,TRADE,1327,786675,9064,7737,1078536,0
15,ISSUE,14074,0,600,14674,746335,0
15,ISSUE,24018,0,0,24018,347175,0
15,TRADE,200,297133,1679,1479,367681,0
15,TRADE,6163,1147902,7763,1600,579604,0
15,TRADE,200,366968,400,200,1161807,0
15,TRADE,200,1154574,12816,12616,875121,0
15,TRADE,200,262919,10754,10554,873345,0
15,TRADE,8907,24578,11633,2726,966921,0
16,TRADE,3744,374355,14230,10486,337319,0
16,ISSUE,1920,0,1224,3144,984337,0
16,TRADE,4809,31795,8507,3698,477122,0
16,REDEEM,200,260109,400,200,0,0
16,ISSUE,7014,0,0,7014,337658,0
16,TRADE,200,10804,472,272,28672,0
16,TRADE,200,732474,10955,10755,492611,0
16,ISSUE,197935,0,48464,246399,825187,1
16,TRADE,233845,825187,246399,12554,648460,1
16,REDEEM,11900,825187,12554,654,0,1
16,ISSUE,21673,0,2884,24557,704250,0
16,REDEEM,2846,28672,14993,12147,0,0
16,TRADE,200,921736,2651,2451,822605,0
16,TRADE,3960,347175,24018,20058,579604,0
16,TRADE,200,420222,1921,1721,110160,0
16,TRADE,200,625587,4595,4395,260109,0
16,TRADE,200,1161539,11307,11107,367681,0
16,TRADE,200,861349,1289,1089,787684,0
16,ISSUE,100173,0,249648,349821,648460,1
16,TRADE,346046,648460,349821,3775,726207,1
16,REDEEM,2949,648460,3775,826,0,1
16,TRADE,691,371304,1388,697,612220,0
16,TRADE,200,316305,2431,2231,37837,0
16,TRADE,200,49436,718,518,136402,0
16,TRADE,5086,822605,13656,8570,698419,0
16,TRADE,200,332633,600,400,10804,0
16,TRADE,3790,875121,7692,3902,648460,0
16,TRADE,11988,468524,12560,572,197386,0
16,TRADE,200,899253,8629,8429,280481,0
16,TRADE,200,24578,2726,2526,732474,0
16,TRADE,200,510675,10559,10359,921736,0
16,TRADE,3792,2658,12686,8894,10804,0
16,TRADE,200,828493,4053,3853,49436,0
16,ISSUE,7718,0,2781,10499,1120959,0
16,TRADE,200,110160,400,200,477122,0
16,TRADE,573,42759,3754,3181,726207,0
16,TRADE,200,689551,9462,9262,371304,0
16,ISSUE,18062,0,6406,24468,846592,0
16,REDEEM,12357,698419,14269,1912,0,0
16,TRADE,200,407736,431,231,1078536,0
16,TRADE,200,262919,10554,10354,407736,0
17,TRADE,200,316305,2231,2031,788139,0
17,TRADE,200,468524,572,372,468524,0
17,ISSUE,29840,0,599,30439,1007410,0
17,TRADE,200,332633,400,200,1107330,0
17,TRADE,200,787684,400,200,110160,0
17,REDEEM,4810,915852,12405,7595,0,0
17,TRADE,2450,42759,3181,731,915852,0
17,TRADE,200,1107330,1958,1758,37837,0
17,REDEEM,3628,510675,10359,6731,0,0
17,TRADE,200,2658,8894,8694,405547,0
17,TRADE,11157,1154574,12616,1459,648460,0
17,REDEEM,200,586003,923,723,0,0
17,TRADE,10791,704250,24557,13766,347175,0
17,TRADE,2887,1120959,10499,7612,680172,0
17,TRADE,18322,347175,30849,12527,873345,0
17,TRADE,7441,846592,24468,17027,576773,0
17,TRADE,200,407736,431,231,998116,0
17,TRADE,200,355253,3454,3254,197386,0
17,TRADE,8588,788139,21023,12435,822605,0
17,ISSUE,200,0,1479,1679,297133,0
17,TRADE,8142,579604,17314,9172,726207,0
17,REDEEM,200,998116,756,556,0,0
17,REDEEM,200,188834,2447,2247,0,0
17,TRADE,26072,197386,31743,5671,407736,0
17,TRADE,1478,966921,14729,13251,579604,0
17,REDEEM,4310,680172,8116,3806,0,0
17,TRADE,6472,822605,17158,10686,846592,0
18,REDEEM,9041,746335,14674,5633,0,0
18,TRADE,200,2658,8694,8494,799431,0
18,ISSUE,9820,0,0,9820,374988,0
18,TRADE,3898,1007410,30439,26541,262919,0
18,TRADE,200,786675,7737,7537,746335,0
18,ISSUE,14875,0,1010,15885,412285,0
18,TRADE,200,280481,5629,5429,786675,0
18,ISSUE,6508,0,200,6708,332633,0
18,TRADE,2053,309686,15248,13195,846592,0
18,REDEEM,200,110160,400,200,0,0
18,TRADE,2128,694769,4608,2480,510675,0
18,TRADE,1535,961119,2059,524,625587,0
18,TRADE,200,196302,5215,5015,49436,0
18,TRADE,2844,732474,10955,8111,1161539,0
18,TRADE,200,698419,1912,1712,576773,0
18,TRADE,14328,846592,25552,11224,68935,0
18,TRADE,4034,704250,13766,9732,107694,0
18,TRADE,200,1107330,1758,1558,42759,0
18,TRADE,3253,625587,5930,2677,680172,0
18,TRADE,200,54536,1005,805,366968,0
18,TRADE,200,262919,14252,14052,648460,0
18,TRADE,200,10804,4264,4064,1156990,0
18,TRADE,1880,921736,2651,771,788139,0
18,TRADE,200,188834,2247,2047,579604,0
18,TRADE,4059,347175,12527,8468,407736,0
18,TRADE,200,297133,1679,1479,492611,0
18,TRADE,200,875121,3902,3702,412285,0
18,TRADE,8230,579604,10850,2620,42759,0
18,TRADE,200,1161539,13951,13751,337658,0
18,REDEEM,200,28672,12147,11947,0,0
18,ISSUE,200,0,5671,5871,197386,0
18,TRADE,4181,68935,14974,10793,170188,0
18,TRADE,5408,510675,8859,3451,37837,0
18,TRADE,200,576773,8809,8609,1078536,0
18,TRADE,200,1078536,1727,1527,1161539,0
19,TRADE,200,42759,9161,8961,205155,0
19,ISSUE,6684,0,4064,10748,10804,0
19,TRADE,200,1161807,408,208,492611,0
19,TRADE,3993,1161539,13951,9958,10804,0
19,REDEEM,6363,477122,6443,80,0,0
19,TRADE,6124,689551,9262,3138,899253,0
19,TRADE,200,262919,14052,13852,309686,0
19,ISSUE,98360,0,355029,453389,726207,1
19,TRADE,342422,726207,453389,110967,825187,1
19,REDEEM,77685,726207,110967,33282,0,1
19,ISSUE,7040,0,2620,9660,579604,0
19,TRADE,9388,407736,30362,20974,374355,0
19,TRADE,200,846592,11224,11024,579604,0
19,TRADE,200,205155,3454,3254,316305,0
19,TRADE,3942,159610,4291,349,732474,0
19,ISSUE,16042,0,200,16242,713184,0
19,TRADE,200,875121,3702,3502,875121,0
19,TRADE,200,347175,8468,8268,786675,0
19,TRADE,7095,374355,19874,12779,1120959,0
19,TRADE,200,921736,771,571,374355,0
19,TRADE,200,468524,572,372,24578,0
19,TRADE,200,873345,18722,18522,966921,0
19,TRADE,200,1120959,14707,14507,367681,0
19,TRADE,8566,68935,10793,2227,217966,0
19,ISSUE,169611,0,343076,512687,825187,1
19,TRADE,472163,825187,512687,40524,648460,1
19,REDEEM,35297,825187,40524,5227,0,1
19,ISSUE,12082,0,4181,16263,170188,0
19,TRADE,200,412285,16085,15885,115869,0
19,TRADE,4198,746335,5833,1635,825187,0
19,TRADE,200,788139,14315,14115,825187,0
19,TRADE,200,2658,8494,8294,217966,0
19,TRADE,200,828493,3853,3653,861349,0
19,TRADE,4335,197386,5871,1536,915852,0
19,TRADE,200,337319,8606,8406,68935,0
19,TRADE,737,332633,6708,5971,787684,0
19,TRADE,5958,822605,10686,4728,280481,0
19,TRADE,200,37837,6008,5808,915852,0
19,REDEEM,5353,950315,11525,6172,0,0
19,TRADE,11091,1007410,26541,15450,1156990,0
19,TRADE,200,576773,8609,8409,1064559,0
19,TRADE,377,998116,556,179,412285,0
19,TRADE,3114,732474,12053,8939,873345,0
19,ISSUE,200,0,261,461,670580,0
19,TRADE,2237,309686,13395,11158,846592,0
20,TRADE,10881,966921,13451,2570,42759,0
20,TRADE,200,1147902,1600,1400,332633,0
20,TRADE,200,170188,16263,16063,950315,0
20,TRADE,200,196302,5015,4815,170188,0
20,TRADE,2342,792888,6376,4034,329836,0
20,TRADE,200,1156990,11491,11291,1161539,0
20,TRADE,200,197386,1536,1336,205155,0
20,TRADE,200,107694,4070,3870,612220,0
20,TRADE,200,316305,2231,2031,170188,0
20,TRADE,200,670580,461,261,510675,0
20,REDEEM,7937,704250,9732,1795,0,0
20,TRADE,200,309686,11158,10958,1161539,0
20,REDEEM,200,374988,9820,9620,0,0
20,TRADE,200,984337,3144,2944,825187,0
20,TRADE,10688,915852,14580,3892,420222,0
20,TRADE,200,698419,1712,1512,953701,0
20,ISSUE,375,0,6171,6546,332633,0
20,TRADE,7268,337319,8406,1138,984337,0
20,TRADE,200,713184,16242,16042,786675,0
20,TRADE,256,510675,3651,3395,159610,0
20,TRADE,200,374355,12979,12779,355253,0
20,ISSUE,200,0,14507,14707,1120959,0
20,TRADE,8358,10804,14741,6383,732474,0
20,REDEEM,4654,680172,7059,2405,0,0
20,TRADE,200,54536,805,605,921736,0
20,ISSUE,7805,0,1289,9094,861349,0
20,TRADE,423,746335,1635,1212,329836,0
20,TRADE,1023,875121,3702,2679,799431,0
20,TRADE,200,407736,20974,20774,10804,0
20,TRADE,200,846592,13261,13061,670580,0
20,ISSUE,200,0,400,600,494330,0
20,TRADE,200,625587,2677,2477,468524,0
20,TRADE,200,297133,1479,1279,170188,0
20,TRADE,200,873345,21636,21436,953701,0
20,ISSUE,6557,0,3454,10011,205155,0
20,TRADE,6911,347175,8268,1357,188834,0
20,TRADE,200,788139,14115,13915,1078536,0
20,TRADE,5608,576773,8409,2801,875121,0
20,TRADE,484,329836,2965,2481,170188,0
21,TRADE,8020,713184,16042,8022,579604,0
21,ISSUE,6931,0,3870,10801,107694,0
21,TRADE,200,31795,3698,3498,345135,0
21,TRADE,200,1161807,208,8,10804,0
21,ISSUE,200,0,5661,5861,405547,0
21,TRADE,200,332633,6546,6346,698419,0
21,TRADE,200,10804,6783,6583,420222,0
21,REDEEM,4060,420222,12609,8549,0,0
21,TRADE,200,788139,13915,13715,953701,0
21,TRADE,200,899253,14553,14353,115869,0
21,TRADE,571,329836,2481,1910,966921,0
21,TRADE,2135,367681,3732,1597,1107330,0
21,TRADE,200,915852,3892,3692,2658,0
21,TRADE,6112,42759,19842,13730,355253,0
21,TRADE,200,24578,2726,2526,159610,0
21,TRADE,2030,205155,10011,7981,371304,0
21,TRADE,200,347175,1357,1157,648460,0
21,TRADE,200,625587,2477,2277,217966,0
21,ISSUE,200,0,9566,9766,355253,0
21,TRADE,6128,2658,8494,2366,1154574,0
21,TRADE,200,316305,2031,1831,337319,0
21,TRADE,200,412285,16262,16062,1161807,0
21,ISSUE,200,0,200,400,110160,0
21,TRADE,200,1156990,11291,11091,297133,0
21,ISSUE,11157,0,1712,12869,698419,0
21,TRADE,200,374988,9620,9420,899253,0
21,TRADE,200,579604,17880,17680,689551,0
21,REDEEM,2234,1007410,15450,13216,0,0
21,REDEEM,4678,374355,12779,8101,0,0
21,TRADE,200,260109,400,200,355253,0
21,TRADE,200,492611,600,400,799431,0
21,TRADE,200,694769,2480,2280,477122,0
22,TRADE,3808,188834,8958,5150,477122,0
22,ISSUE,6953,0,600,7553,494330,0
22,ISSUE,102720,0,33282,136002,726207,1
22,TRADE,123265,726207,136002,12737,648460,1
22,REDEEM,11360,726207,12737,1377,0,1
22,TRADE,200,799431,1657,1457,260109,0
22,TRADE,200,110160,400,200,1007410,0
22,TRADE,200,468524,572,372,371304,0
22,REDEEM,3430,37837,5808,2378,0,0
22,REDEEM,200,280481,11387,11187,0,0
22,TRADE,200,984337,10212,10012,746335,0
22,TRADE,200,205155,7981,7781,159610,0
22,ISSUE,200,0,14707,14907,1120959,0
22,REDEEM,4659,42759,13730,9071,0,0
22,TRADE,200,345135,9268,9068,612220,0
22,TRADE,200,196302,4815,4615,136402,0
22,TRADE,200,670580,461,261,37837,0
22,ISSUE,138737,0,9825,148562,825187,1
22,TRADE,136879,825187,148562,11683,726207,1
22,REDEEM,10025,825187,11683,1658,0,1
22,TRADE,7579,412285,16062,8483,1161807,0
22,TRADE,200,374988,9420,9220,297133,0
22,TRADE,200,704250,1795,1595,280481,0
22,TRADE,200,262919,13852,13652,698419,0
22,TRADE,200,420222,8549,8349,54536,0
22,TRADE,7773,786675,8137,364,966921,0
22,TRADE,3926,698419,13069,9143,746335,0
22,TRADE,1251,1156990,11091,9840,694769,0
22,TRADE,3142,746335,5338,2196,260109,0
22,TRADE,200,787684,937,737,260109,0
22,TRADE,200,1107330,3693,3493,110160,0
22,TRADE,200,846592,13061,12861,792888,0
22,TRADE,200,492611,400,200,792888,0
22,TRADE,200,136402,600,400,309686,0
22,TRADE,9265,732474,17297,8032,579604,0
22,ISSUE,7588,0,200,7788,1064559,0
22,TRADE,200,217966,8966,8766,280481,0
22,TRADE,200,875121,8287,8087,468524,0
22,TRADE,200,329836,1910,1710,374355,0
22,TRADE,200,510675,3395,3195,31795,0
22,ISSUE,23323,0,13715,37038,788139,0
22,ISSUE,129168,0,611601,740769,648460,1
22,TRADE,618099,648460,740769,122670,648460,1
22,REDEEM,618304,648460,740769,122465,0,1
22,TRADE,9741,28672,11947,2206,648460,0
23,TRADE,200,875121,8087,7887,799431,0
23,TRADE,200,37837,2578,2378,355253,0
23,TRADE,8116,899253,14553,6437,136402,0
23,TRADE,812,345135,9068,8256,37837,0
23,ISSUE,15665,0,524,16189,961119,0
23,TRADE,200,54536,805,605,136402,0
23,TRADE,200,579604,26945,26745,337658,0
23,TRADE,200,1107330,3493,3293,197386,0
23,REDEEM,200,371304,3127,2927,0,0
23,TRADE,2653,1161539,10358,7705,468524,0
23,TRADE,1356,260109,3742,2386,873345,0
23,TRADE,484,1078536,1727,1243,316305,0
23,TRADE,2455,42759,9071,6616,326708,0
23,ISSUE,21491,0,400,21891,366968,0
23,ISSUE,1527,0,3653,5180,828493,0
23,TRADE,5390,355253,10166,4776,825187,0
23,REDEEM,200,262919,13652,13452,0,0
23,TRADE,1453,10804,6583,5130,1161539,0
23,TRADE,3466,873345,22792,19326,586003,0
23,TRADE,200,510675,3195,2995,1064559,0
23,TRADE,200,329836,1710,1510,468524,0
23,ISSUE,7952,0,400,8352,115869,0
23,TRADE,1925,494330,7553,5628,42759,0
23,TRADE,200,1161807,7787,7587,1154574,0
23,TRADE,200,405547,5861,5661,950315,0
23,TRADE,1077,861349,9094,8017,1161807,0
23,ISSUE,2250,0,200,2450,492611,0
23,REDEEM,1762,280481,11587,9825,0,0
23,TRADE,200,188834,5150,4950,355253,0
23,TRADE,200,1154574,7787,7587,405547,0
23,TRADE,11424,788139,37038,25614,107694,0
23,TRADE,200,347175,1157,957,374988,0
23,ISSUE,3657,0,6572,10229,950315,0
23,TRADE,200,367681,1597,1397,374988,0
24,TRADE,200,612220,1691,1491,107694,0
24,TRADE,200,371304,2927,2727,946726,0
24,TRADE,200,345135,8256,8056,625587,0
24,TRADE,200,42759,8541,8341,704250,0
24,TRADE,1306,680172,2405,1099,42759,0
24,ISSUE,200,0,261,461,670580,0
24,TRADE,200,1107330,3293,3093,873345,0
24,TRADE,7070,698419,9143,2073,825187,0
24,ISSUE,11532,0,4615,16147,196302,0
